City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
kalush,UA,1554238800,0,43,49.03,24.36,35.6,2.24
canutama,BR,1554240777,24,77,-6.53,-64.38,86.68,1.72
amahai,ID,1554240831,48,85,-3.31,129,82,1.01
konstantinovka,MD,1554240643,0,68,47.99,28.86,28,6.76
zlobin,HR,1554240918,0,76,45.29,14.65,55.4,4.7
seoul,KR,1554239400,1,79,37.57,126.98,32,1.12
birao,CF,1554240945,0,26,10.3,22.78,76.69,8.88
araguaina,BR,1554240946,56,86,-7.19,-48.21,81.82,4.29
sayansk,RU,1554240946,76,69,54.11,102.18,37.09,7.2
caravelas,BR,1554240946,0,100,-17.73,-39.27,81.55,9.78
sioux lookout,CA,1554238800,75,50,50.1,-91.92,30.2,17.22
soderhamn,SE,1554240726,8,38,61.3,17.06,34,1.99
xixiang,CN,1554240843,0,78,22.58,113.87,73,8.95
atambua,ID,1554240948,48,100,-9.11,124.89,75.61,3.06
honiara,SB,1554240738,76,100,-9.43,159.96,75.88,2.62
beitbridge,ZA,1554240948,80,79,-22.21,29.99,69.22,14.25
hambantota,LK,1554239400,20,100,6.12,81.12,77,5.41
almeirim,PT,1554240943,0,76,39.21,-8.63,57.2,14.99
lakes entrance,AU,1554240646,20,97,-37.88,147.99,50,6.53
ivybridge,GB,1554240949,20,100,50.39,-3.92,39,3.36
jumla,NP,1554240950,0,80,29.28,82.18,23.59,1.83
vao,EE,1554240757,0,78,59.1,26.19,25.12,3.06
namibe,AO,1554240726,0,98,-15.19,12.15,80.47,10.11
euclides da cunha,BR,1554240951,80,77,-10.51,-39.01,79.75,8.66
maamba,ZM,1554240951,0,59,-17.36,27.22,68.77,4.85
esperance,TT,1554240638,20,58,10.24,-61.45,84.2,13.87
savannah bight,HN,1554240951,0,91,16.45,-85.85,82.63,16.49
buta,CD,1554240952,12,86,2.79,24.73,74.98,1.72
derzhavinsk,KZ,1554240952,92,79,51.1,66.31,39.97,12.01
torremolinos,ES,1554240895,20,72,36.62,-4.5,62.6,2.73
hermitage,US,1554240725,40,36,41.23,-80.45,54,8.05
egvekinot,RU,1554240953,44,90,66.32,-179.17,19.54,3.29
kyshtovka,RU,1554240954,64,94,56.56,76.62,28.63,6.42
ewo,CG,1554240954,20,95,-0.88,14.81,72.82,4.18
okhotsk,RU,1554240954,68,86,59.36,143.24,23.5,4.97
kalmunai,LK,1554240955,0,100,7.42,81.82,73.09,4.74
mount gambier,AU,1554238800,92,67,-37.83,140.78,57.2,3.96
anloga,GH,1554235200,20,89,5.79,0.9,84.2,8.05
ankang,CN,1554240956,44,86,32.73,108.99,32.86,1.95
zhaodong,CN,1554238800,0,39,46.07,125.99,30.2,8.95
cherskiy,RU,1554240957,48,79,68.75,161.3,28.81,6.76
bodden town,KY,1554240604,40,70,19.28,-81.25,86,12.75
venice,US,1554240929,1,73,27.1,-82.45,81,13.87
kokoda,PG,1554240958,88,98,-8.88,147.74,65.08,0.38
kahului,US,1554240828,40,54,20.89,-156.47,82.4,14.99
trujillo,PE,1554238800,75,88,-8.11,-79.03,69.8,12.75
saint george,GR,1554238200,0,75,39.45,22.34,44.6,4.7
vila,IT,1554240957,75,50,45.18,8.4,59,6.93
ayorou,NE,1554240959,8,18,14.73,0.92,86.77,7.76
morlaix,FR,1554240724,44,86,48.58,-3.83,43,11.41
puerto escondido,MX,1554237600,5,66,15.86,-97.07,86,9.17
kunyang,CN,1554240960,92,100,27.66,120.56,52.66,14.58
sisimiut,GL,1554240960,92,100,66.94,-53.67,30.43,2.28
zalantun,CN,1554240961,0,31,48,122.72,24.85,6.87
mugur-aksy,RU,1554240961,0,76,50.38,90.44,13.33,3.29
nueva italia,PY,1554238800,90,100,-25.61,-57.47,71.6,9.22
nara,JP,1554240604,75,87,34.68,135.8,42.8,3.06
tamale,GH,1554240962,48,73,9.4,-0.84,77.05,8.1
kasongo-lunda,CD,1554240963,64,86,-6.48,16.82,74.89,0.38
meadow lake,CA,1554238800,75,42,54.13,-108.44,30.2,20.8
homer,US,1554240957,1,80,59.64,-151.54,46,5.82
itaperuna,BR,1554240821,20,80,-21.2,-41.89,72.82,2.73
rudnya,RU,1554240964,88,89,50.8,44.56,36.01,16.71
macon,US,1554240927,20,32,32.84,-83.63,66.2,12.75
berea,US,1554240950,90,39,41.37,-81.85,52,12.75
benguela,AO,1554240965,8,100,-12.58,13.4,81.01,6.87
soltsy,RU,1554240965,0,77,58.12,30.32,25.57,2.39
prince rupert,CA,1554238800,1,53,54.32,-130.32,59,5.82
beaverlodge,CA,1554238800,20,52,55.21,-119.43,41,10.29
dunedin,NZ,1554240719,8,89,-45.87,170.5,43.03,2.95
san-pedro,CI,1554240966,68,79,4.75,-6.64,83.17,8.21
oda,JP,1554239400,20,100,35.19,132.5,32,5.82
oistins,BB,1554238800,40,65,13.07,-59.53,80.6,20.8
hay river,CA,1554238800,75,48,60.82,-115.79,17.6,6.93
bambous virieux,MU,1554240541,40,88,-20.34,57.76,77,7.31
sao joao da barra,BR,1554238800,20,65,-21.64,-41.05,78.8,6.93
backo gradiste,RS,1554238800,0,34,45.53,20.03,51.8,13.87
leticia,CO,1554238800,75,74,-4.21,-69.94,87.8,2.24
penuelas,PR,1554240957,90,74,18.06,-66.72,82.99,16.11
fort nelson,CA,1554240060,90,60,58.81,-122.69,32,6.93
narsaq,GL,1554238200,92,86,60.91,-46.05,37.4,20.8
trincomalee,LK,1554240970,0,90,8.58,81.23,72.37,4.18
kaeo,NZ,1554239286,0,84,-35.1,173.78,60.01,5.01
hamilton,BM,1554240642,75,83,32.3,-64.78,69.8,19.46
marbella,ES,1554240620,20,72,36.51,-4.89,62.6,2.73
zonguldak,TR,1554240929,64,95,41.25,31.83,40.87,2.51
ixtapa,MX,1554240918,5,78,20.71,-105.21,79,18.34
pedernales,EC,1554240972,68,94,0.07,-80.05,78.31,9.44
karakol,KG,1554240973,32,98,42.49,78.39,25.3,2.51
vagur,FO,1554240973,48,100,61.47,-6.81,41.41,26.22
shuiji,CN,1554240974,100,99,27.42,118.34,54.28,2.39
natal,BR,1554238800,20,74,-5.81,-35.21,84.2,11.41
mattru,SL,1554240975,92,100,7.62,-11.83,75.88,2.62
bintulu,MY,1554238800,75,94,3.17,113.03,75.2,3.36
valdivia,CL,1554238800,0,52,-39.81,-73.25,69.8,8.05
kupang,ID,1554238800,20,94,-10.16,123.6,75.2,3.36
kamsack,CA,1554240060,90,58,51.56,-101.9,28.4,20.8
quatre cocos,MU,1554240541,40,88,-20.21,57.76,77,7.31
sakaiminato,JP,1554240794,20,100,35.55,133.23,32,5.82
tibati,CM,1554240968,20,84,6.47,12.63,72.37,7.43
gambiran,ID,1554240977,48,93,-7.93,111.77,67.87,2.39
kyren,RU,1554240978,0,78,51.68,102.13,31.87,4.63
calbuco,CL,1554238800,40,67,-41.77,-73.13,59,11.41
qaqortoq,GL,1554238200,56,86,60.72,-46.03,37.4,20.8
munster,DE,1554240917,75,62,52.99,10.09,54,9.17
fukuma,JP,1554240933,20,65,33.77,130.47,46.4,2.24
cairns,AU,1554240917,75,88,-16.92,145.77,77,12.75
panzhihua,CN,1554240979,68,50,26.59,101.72,52.93,2.73
shingu,JP,1554240726,0,100,33.72,135.99,46.63,16.26
kiunga,PG,1554240980,48,97,-6.12,141.3,72.73,2.28
san andres,PH,1554240980,8,100,13.32,122.68,80.29,11.56
camacupa,AO,1554240981,0,61,-12.02,17.48,63.1,2.39
sokol,RU,1554240981,0,68,59.46,40.11,17.56,2.95
ketchikan,US,1554238560,1,50,55.34,-131.65,64.4,13.87
sao miguel do araguaia,BR,1554240774,0,85,-13.28,-50.16,83.08,3.06
fukue,JP,1554240882,20,70,35.03,136.69,42.8,19.46
farmington,US,1554240975,1,17,36.73,-108.21,62.6,3.36
villa rica,PE,1554240983,44,78,-10.74,-75.27,78.22,1.72
lata,IN,1554240983,0,63,30.78,78.62,45.64,2.51
kilindoni,TZ,1554240983,0,100,-7.91,39.67,84.07,12.8
tabou,CI,1554240984,32,95,4.42,-7.36,85.87,10.45
arkhangelsk,RU,1554238800,40,89,64.54,40.54,32,4.47
alexandria,US,1554240705,75,28,31.31,-92.44,69.01,6.93
ostrovnoy,RU,1554240774,36,85,68.05,39.51,28.09,14.7
vanimo,PG,1554240699,68,98,-2.67,141.3,83.44,15.26
smidovich,RU,1554240985,20,69,48.6,133.81,23.05,1.39
manyana,AU,1554240725,20,100,-35.26,150.51,64.99,5.41
karratha,AU,1554240985,0,87,-20.74,116.85,68.5,3.29
